# Synthetic SNAP Dataset
# Nodes: 5000 Edges: 14991
# FromNodeId	ToNodeId
0	1
0	2
0	3
0	4
0	6
0	7
0	10
0	12
0	15
0	17
0	18
0	21
0	23
0	24
0	25
0	32
0	39
0	40
0	41
0	47
0	54
0	55
0	59
0	62
0	91
0	105
0	110
0	111
0	123
0	135
0	136
0	139
0	148
0	149
0	160
0	177
0	184
0	185
0	195
0	197
0	205
0	214
0	215
0	242
0	287
0	288
0	301
0	312
0	317
0	320
0	324
0	333
0	340
0	341
0	343
0	347
0	374
0	378
0	382
0	395
0	409
0	416
0	420
0	437
0	472
0	486
0	509
0	519
0	540
0	544
0	548
0	553
0	561
0	575
0	609
0	619
0	620
0	623
0	624
0	633
0	658
0	670
0	694
0	697
0	736
0	753
0	789
0	840
0	841
0	934
0	987
0	998
0	1003
0	1012
0	1023
0	1051
0	1089
0	1136
0	1173
0	1217
0	1221
0	1270
0	1280
0	1300
0	1369
0	1483
0	1576
0	1654
0	1677
0	1734
0	1755
0	1769
0	1775
0	1847
0	1902
0	1905
0	1926
0	2011
0	2014
0	2043
0	2093
0	2107
0	2176
0	2181
0	2272
0	2281
0	2288
0	2443
0	2501
0	2509
0	2510
0	2533
0	2597
0	2605
0	2696
0	2700
0	2704
0	2706
0	2713
0	2739
0	2750
0	2855
0	2867
0	2875
0	2876
0	2893
0	2981
0	3078
0	3098
0	3114
0	3120
0	3135
0	3137
0	3142
0	3168
0	3180
0	3292
0	3305
0	3368
0	3370
0	3377
0	3424
0	3445
0	3509
0	3547
0	3577
0	3603
0	3707
0	3709
0	3735
0	3737
0	3764
0	3802
0	3887
0	4019
0	4072
0	4086
0	4148
0	4214
0	4346
0	4350
0	4359
0	4392
0	4417
0	4652
0	4695
0	4707
0	4744
0	4762
0	4943
0	4963
0	4995
1	4
1	7
1	9
1	10
1	11
1	13
1	14
1	15
1	16
1	23
1	24
1	26
1	31
1	33
1	36
1	42
1	43
1	60
1	72
1	89
1	93
1	97
1	100
1	102
1	109
1	143
1	148
1	168
1	182
1	213
1	224
1	233
1	235
1	236
1	244
1	259
1	263
1	296
1	315
1	418
1	491
1	511
1	522
1	533
1	547
1	612
1	622
1	638
1	639
1	718
1	719
1	745
1	756
1	769
1	933
1	945
1	989
1	1018
1	1055
1	1081
1	1135
1	1155
1	1192
1	1203
1	1226
1	1230
1	1309
1	1411
1	1415
1	1463
1	1481
1	1547
1	1587
1	1615
1	1626
1	1634
1	1670
1	1720
1	1822
1	1868
1	1879
1	1891
1	1920
1	1931
1	1970
1	2112
1	2148
1	2208
1	2234
1	2246
1	2353
1	2360
1	2467
1	2529
1	2559
1	2637
1	2653
1	2694
1	2822
1	2901
1	2962
1	3033
1	3082
1	3096
1	3152
1	3160
1	3395
1	3519
1	3525
1	3594
1	3628
1	3630
1	3818
1	3973
1	4093
1	4112
1	4174
1	4175
1	4238
1	4248
1	4278
1	4365
1	4380
1	4456
1	4469
1	4478
1	4563
1	4708
1	4783
1	4819
1	4943
1	4948
2	5
2	34
2	100
2	502
2	506
2	693
2	700
2	943
2	1015
2	1558
2	1735
2	2456
2	2590
2	2683
2	2685
2	2898
2	3019
2	3117
2	4132
2	4740
3	4
3	5
3	6
3	8
3	9
3	11
3	15
3	24
3	36
3	38
3	52
3	58
3	64
3	66
3	67
3	75
3	79
3	105
3	106
3	164
3	165
3	194
3	195
3	201
3	240
3	272
3	332
3	369
3	380
3	390
3	406
3	456
3	457
3	509
3	510
3	518
3	563
3	571
3	696
3	703
3	707
3	726
3	735
3	791
3	817
3	827
3	931
3	976
3	1029
3	1038
3	1040
3	1047
3	1097
3	1134
3	1148
3	1199
3	1201
3	1210
3	1223
3	1256
3	1265
3	1275
3	1281
3	1289
3	1311
3	1373
3	1380
3	1432
3	1512
3	1624
3	1731
3	1867
3	2003
3	2195
3	2238
3	2368
3	2426
3	2429
3	2444
3	2473
3	2528
3	2625
3	2664
3	2697
3	2723
3	3099
3	3353
3	3421
3	3501
3	3512
3	3578
3	3659
3	3733
3	3882
3	3894
3	3952
3	4036
3	4194
3	4205
3	4226
3	4229
3	4301
3	4397
3	4409
3	4463
3	4546
3	4594
3	4825
3	4896
3	4945
4	5
4	6
4	7
4	9
4	11
4	12
4	13
4	14
4	16
4	55
4	95
4	103
4	115
4	129
4	145
4	161
4	169
4	180
4	192
4	195
4	222
4	229
4	231
4	260
4	319
4	379
4	419
4	433
4	497
4	530
4	554
4	646
4	675
4	795
4	810
4	833
4	848
4	858
4	873
4	874
4	894
4	922
4	987
4	1001
4	1011
4	1333
4	1353
4	1359
4	1443
4	1501
4	1521
4	1559
4	1579
4	1593
4	1718
4	1753
4	1858
4	1865
4	1868
4	1877
4	2023
4	2153
4	2220
4	2232
4	2317
4	2360
4	2393
4	2465
4	2518
4	2697
4	2703
4	2757
4	2771
4	2786
4	2799
4	2819
4	3055
4	3075
4	3168
4	3238
4	3283
4	3383
4	3661
4	3808
4	3886
4	4052
4	4184
4	4220
4	4437
4	4568
4	4611
4	4697
4	4702
4	4772
4	4883
5	18
5	19
5	37
5	38
5	50
5	57
5	72
5	99
5	109
5	118
5	120
5	140
5	169
5	197
5	207
5	217
5	218
5	261
5	275
5	294
5	324
5	441
5	447
5	510
5	525
5	543
5	544
5	545
5	560
5	599
5	646
5	647
5	673
5	745
5	752
5	766
5	837
5	883
5	884
5	937
5	974
5	980
5	1182
5	1193
5	1312
5	1362
5	1410
5	1431
5	1453
5	1540
5	1543
5	1618
5	1679
5	1686
5	1814
5	1850
5	1915
5	2107
5	2165
5	2271
5	2339
5	2760
5	2778
5	2841
5	2881
5	2914
5	2930
5	2945
5	3032
5	3181
5	3744
5	3875
5	3900
5	4248
5	4299
5	4408
5	4753
5	4757
5	4899
6	8
6	10
6	13
6	14
6	25
6	27
6	35
6	37
6	38
6	47
6	62
6	66
6	71
6	122
6	136
6	218
6	221
6	244
6	265
6	327
6	365
6	396
6	414
6	429
6	468
6	484
6	547
6	565
6	566
6	602
6	679
6	681
6	816
6	874
6	955
6	998
6	1013
6	1017
6	1085
6	1146
6	1183
6	1184
6	1241
6	1372
6	1432
6	1438
6	1486
6	1557
6	1617
6	1622
6	1650
6	1652
6	1659
6	1706
6	1750
6	1790
6	1862
6	1941
6	1949
6	2100
6	2128
6	2283
6	2320
6	2384
6	2476
6	2481
6	2493
6	2518
6	2544
6	2660
6	2681
6	2763
6	2892
6	3046
6	3298
6	3344
6	3387
6	3430
6	3470
6	3500
6	3642
6	3659
6	3739
6	3742
6	3783
6	3914
6	3938
6	3951
6	4149
6	4205
6	4220
6	4262
6	4338
6	4458
6	4545
6	4776
6	4791
6	4831
6	4891
6	4946
6	4985
6	4993
6	4996
7	8
7	12
7	19
7	31
7	40
7	43
7	46
7	49
7	54
7	65
7	81
7	149
7	156
7	166
7	172
7	175
7	178
7	186
7	238
7	381
7	412
7	423
7	454
7	508
7	555
7	557
7	560
7	572
7	579
7	963
7	1245
7	1250
